label;query;precision
NOSTEEMER;1;0.3
NOSTEEMER;2;0.0
NOSTEEMER;3;0.1
NOSTEEMER;4;0.0
NOSTEEMER;5;0.3
NOSTEEMER;6;0.2
NOSTEEMER;7;0.1
NOSTEEMER;8;0.1
NOSTEEMER;9;0.1
NOSTEEMER;10;0.1
NOSTEEMER;11;0.8
NOSTEEMER;12;0.14285714285714285
NOSTEEMER;13;0.1
NOSTEEMER;14;0.3
NOSTEEMER;15;0.4
NOSTEEMER;16;0.8
NOSTEEMER;17;0.4
NOSTEEMER;18;0.2
NOSTEEMER;19;0.4
NOSTEEMER;20;0.8
NOSTEEMER;21;0.1
NOSTEEMER;22;0.7
NOSTEEMER;23;0.2
NOSTEEMER;24;0.2
NOSTEEMER;25;0.4
NOSTEEMER;26;0.6
NOSTEEMER;27;0.2
NOSTEEMER;28;0.5
NOSTEEMER;29;0.1
NOSTEEMER;30;0.2
NOSTEEMER;31;0.4
NOSTEEMER;32;0.1
NOSTEEMER;33;0.3
NOSTEEMER;34;0.5
NOSTEEMER;35;0.2
NOSTEEMER;36;0.0
NOSTEEMER;37;0.8
NOSTEEMER;38;0.1
NOSTEEMER;39;0.7
NOSTEEMER;40;0.4
NOSTEEMER;41;0.2
NOSTEEMER;42;0.6
NOSTEEMER;43;0.3
NOSTEEMER;44;0.1
NOSTEEMER;45;0.1
NOSTEEMER;46;0.1
NOSTEEMER;47;0.2
NOSTEEMER;48;0.0
NOSTEEMER;49;0.7
NOSTEEMER;50;0.3
NOSTEEMER;51;0.3
NOSTEEMER;52;0.0
NOSTEEMER;53;0.3
NOSTEEMER;54;0.4
NOSTEEMER;55;0.0
NOSTEEMER;56;0.1
NOSTEEMER;57;0.5
NOSTEEMER;58;0.4
NOSTEEMER;59;0.0
NOSTEEMER;60;0.2
NOSTEEMER;61;0.2
NOSTEEMER;62;0.6
NOSTEEMER;63;0.2
NOSTEEMER;64;0.1
NOSTEEMER;65;0.5
NOSTEEMER;66;0.2
NOSTEEMER;67;0.4
NOSTEEMER;68;0.2
NOSTEEMER;69;0.3
NOSTEEMER;70;0.1
NOSTEEMER;71;0.3333333333333333
NOSTEEMER;72;0.4
NOSTEEMER;73;0.3
NOSTEEMER;74;0.0
NOSTEEMER;75;0.3
NOSTEEMER;76;0.1
NOSTEEMER;77;0.4
NOSTEEMER;78;0.5
NOSTEEMER;79;0.3
NOSTEEMER;80;0.1
NOSTEEMER;81;0.4
NOSTEEMER;82;0.2
NOSTEEMER;83;0.3
NOSTEEMER;84;0.5
NOSTEEMER;85;0.1
NOSTEEMER;86;0.6
NOSTEEMER;87;0.3
NOSTEEMER;88;0.0
NOSTEEMER;89;0.1
NOSTEEMER;90;0.1
NOSTEEMER;91;0.7
NOSTEEMER;92;0.6
NOSTEEMER;94;0.4
NOSTEEMER;95;0.0
NOSTEEMER;96;0.1
NOSTEEMER;97;0.1
NOSTEEMER;98;0.1
NOSTEEMER;99;0.0
NOSTEEMER;100;0.3
