label;query;precision
STEEMER;1;0.4
STEEMER;2;0.0
STEEMER;3;0.1
STEEMER;4;0.1111111111111111
STEEMER;5;0.7
STEEMER;6;0.3
STEEMER;7;0.2
STEEMER;8;0.1
STEEMER;9;0.0
STEEMER;10;0.1
STEEMER;11;0.5
STEEMER;12;0.0
STEEMER;13;0.0
STEEMER;14;0.5
STEEMER;15;0.1
STEEMER;16;0.7
STEEMER;17;0.4
STEEMER;18;0.2
STEEMER;19;0.4
STEEMER;20;0.8
STEEMER;21;0.1
STEEMER;22;0.5
STEEMER;23;0.1
STEEMER;24;0.2
STEEMER;25;0.4
STEEMER;26;0.1
STEEMER;27;0.1
STEEMER;28;0.1
STEEMER;29;0.1
STEEMER;30;0.3
STEEMER;31;0.4
STEEMER;32;0.1
STEEMER;33;0.3
STEEMER;34;0.5
STEEMER;35;0.2
STEEMER;36;0.1111111111111111
STEEMER;37;1.0
STEEMER;38;0.1
STEEMER;39;0.4
STEEMER;40;0.4
STEEMER;41;0.2
STEEMER;42;1.0
STEEMER;43;0.4
STEEMER;44;0.6
STEEMER;45;0.2
STEEMER;46;0.2
STEEMER;47;0.1
STEEMER;48;0.2
STEEMER;49;0.7
STEEMER;50;0.2
STEEMER;51;0.3
STEEMER;52;0.0
STEEMER;53;0.3
STEEMER;54;0.6
STEEMER;55;0.0
STEEMER;56;0.2
STEEMER;57;0.5
STEEMER;58;0.5
STEEMER;59;0.1
STEEMER;60;0.0
STEEMER;61;0.4
STEEMER;62;0.5
STEEMER;63;0.1
STEEMER;64;0.1
STEEMER;65;0.5
STEEMER;66;0.4
STEEMER;67;0.2
STEEMER;68;0.1
STEEMER;69;0.1
STEEMER;70;0.2
STEEMER;71;0.16666666666666666
STEEMER;72;0.3
STEEMER;73;0.4
STEEMER;74;0.14285714285714285
STEEMER;75;0.3
STEEMER;76;0.2
STEEMER;77;0.4
STEEMER;78;0.5
STEEMER;79;0.3
STEEMER;80;0.1
STEEMER;81;0.4
STEEMER;82;0.1
STEEMER;83;0.3
STEEMER;84;0.4
STEEMER;85;0.1
STEEMER;86;0.7
STEEMER;87;0.2
STEEMER;88;0.0
STEEMER;89;0.1
STEEMER;90;0.5
STEEMER;91;0.8
STEEMER;92;0.6
STEEMER;94;0.7
STEEMER;95;0.1111111111111111
STEEMER;96;0.0
STEEMER;97;0.1
STEEMER;98;0.0
STEEMER;99;0.0
STEEMER;100;0.3
