QueryNumber;QueryText
1;EFFECTS CALCIUM PHYSICAL PROPERTIES MUCUS PATIENTS
2;DISTINGUISH EFFECTS MUCUS HYPERSECRETION INFECTION SUBMUCOSAL GLANDS RESPIRATORY TRACT
3;SALIVARY GLYCOPROTEINS PATIENTS SUBJECTS
4;LIPID COMPOSITION RESPIRATORY SECRETIONS
5;MUCUS ABNORMAL
6;WATER THERAPEUTIC AGENTS PHYSICAL PROPERTIES VISCOSITY ELASTICITY SPUTUM BRONCHIAL SECRETIONS PATIENTS
7;MUCUS GLYCOPROTEINS DEGRADED DIFFERENTLY PATIENTS COMPARED SUBJECTS
8;HISTOCHEMICAL DIFFERENCES RESPIRATORY EPITHELIA
9;ASSOCIATION LIVER DISEASE CIRRHOSIS VITAMIN METABOLISM
10;ROLE VITAMIN THERAPY PATIENTS
11;DIFFERENCE MECONIUM ILEUS MECONIUM PLUG SYNDROME
12;ABNORMALITIES AMINO ACID TRANSPORT SMALL BOWEL PATIENTS
13;CLINICAL BIOCHEMICAL FEATURES PANCREATITIS PATIENTS
14;INVASIVE TESTS PERFORMED EVALUATION EXOCRINE PANCREATIC FUNCTION PATIENTS
15;HEPATIC COMPLICATIONS MANIFESTATIONS
16;GASTROINTESTINAL COMPLICATIONS NEONATAL PERIOD EXCLUDE LIVER DISEASE MECONIUM ILEUS
17;EFFECTIVE REGIMEN PANCREATIC ENZYME SUPPLEMENTS TREATMENT PATIENTS
18;DIETARY SUPPLEMENTATION BILE SALTS THERAPEUTIC BENEFIT PATIENTS
19;COMPLICATIONS PANCREATIC ENZYME THERAPY REPORTED PATIENTS
20;TREATMENT PATIENTS ESSENTIAL FATTY ACID SUPPLEMENTS
21;PANCREATIC INSUFFICIENCY PATIENTS ABILITY ABSORB METABOLIZE IRON
22;FREQUENCY CAUCASIAN POPULATIONS
23;CONGENITAL HEREDITARY DISEASES CONDITIONS ASSOCIATION
24;CHARACTERISTICS PATIENTS INCOMPLETELY MANIFESTED
25;EVIDENCE GENETIC BASIS INVOLVES GENE
26;HETEROZYGOTE ADVANTAGE
27;CONCORDANCE CLINICAL BIOCHEMICAL MANIFESTATIONS SIBLING PAIRS
28;INCIDENCE MALE FERTILITY
29;PATHOLOGY REPRODUCTIVE MALE FEMALE
30;GENETIC COUNSELING FAMILIES CHILDREN
31;MAJOR PSYCHOLOGICAL SOCIAL EFFECTS PATIENTS FAMILIES
32;FACTORS INFLUENCE COMPLIANCE PRESCRIBED THERAPY PATIENTS
33;CONDITIONS FACTORS LEAD ERRONEOUS SWEAT TESTS
34;ALTERNATIVE TECHNIQUES CLASSICAL GIBSON COOKE QUANTITATIVE PILOCARPINE IONTOPHORESIS TEST TITRIMETRIC ANALYSIS CHLORIDE SWEAT TESTING ADVANTAGES DISADVANTAGES
35;PATIENT CONSISTENTLY SWEAT TESTS
36;CONCENTRATION POTASSIUM SWEAT PATIENTS
37;TECHNIQUES SCREENING NEWBORN INFANTS FACTORS CONTRIBUTE ERRONEOUS TESTS
38;DIAGNOSED PRENATALLY
39;HETEROZYGOTES IDENTIFIED
40;SWEAT TEST TECHNIQUES NEONATAL PERIOD DIAGNOSIS
41;VITAMIN METABOLISM PATIENTS
42;ABNORMALITIES INSULIN SECRETION INSULIN METABOLISM OCCUR PATIENTS
43;SALT SODIUM CHLORIDE TRANSPORT PERMEABILITY ABNORMAL
44;STRUCTURAL ENZYMATIC DIFFERENCES FIBROBLASTS PATIENTS PATIENTS
45;ABNORMALITIES PROSTAGLANDIN METABOLISM PATIENTS
46;PROPERTIES ACTIVITY GALACTOSYLTRANSFERASE ENZYMES PATIENTS
47;DIFFERENCES SUBJECTS PATIENTS FUNCTION METABOLISM HORMONES
48;FIBROBLASTS PATIENTS GROW RATE
49;RNA METHYLATION POLYAMINE METABOLISM PATIENTS
50;DEFECTS SYNTHESIS METABOLISM CYCLIC NUCLEOTIDES PATIENTS
51;CIRCULATING SECRETED FACTORS PATIENTS FACTORS UNIDENTIFIED BIOLOGICALLY ACTIVE MOLECULES THOUGHT PLAY PATHOGENETIC ROLE CYSTIC FIBROSIS
52;PROLACTIN PATIENTS
53;SECRETORY IGA PROTECT PATIENTS BACTERIAL COLONIZATION INFECTION
54;RELATIONSHIP ALLERGY HYPERSENSITIVITY LUNG DISEASE PATIENTS
55;INTERACTIONS PROTEASES ENDOGENOUS BACTERIAL ORIGIN ANTIPROTEASES LUNGS PATIENTS
56;RELATIONSHIP NUTRITION PULMONARY HOST DEFENSES BACTERIAL INFECTION PATIENTS
57;PATHOPHYSIOLOGIC ROLE CIRCULATING ANTIBODIES PSEUDOMONAS AERUGINOSA PATIENTS
58;IMMUNOLOGIC RESPONSE PULMONARY INFECTION PATIENTS
59;IMMUNOLOGIC ABNORMALITIES PATIENTS
60;EFFECTS PULMONARY CIRCULATION
61;DEFECT MUCOCILIARY TRANSPORT CLEARANCE RESPIRATORY TRACT PATIENTS
62;CLINICAL FEATURES LUNG DISEASE PATIENTS
63;BIOCHEMICAL MICROSCOPIC CHARACTERISTICS AIRWAY INFLAMMATION PATIENTS
64;LUNG FUNCTION PATIENTS PERIODS GREATER DAY
65;ABNORMALITIES PULMONARY FUNCTION PATIENTS
66;PATHOLOGIC FEATURES LUNG DISEASE PATIENTS
67;PROGNOSIS PATIENTS EPISODE RESPIRATORY FAILURE
68;EFFECTS BRONCHODILATORS PATIENTS
69;TREAT PNEUMOTHORAX PATIENTS
70;TREATMENT PROGNOSIS HEMOPTYSIS PATIENTS
71;PROGNOSIS INFANTS WHEEZING CYSTIC FIBROSIS
72;TREATMENT NASAL POLYPS PATIENTS
73;EFFECTIVE BRONCHIAL LAVAGE PATIENTS
74;MECHANICAL VENTILATION PATIENTS RESPIRATORY FAILURE
75;TREATMENT PULMONARY HYPERTENSION PULMONALE PATIENTS
76;EFFECTS EXERCISE TRAINING PROGRAMS LUNG FUNCTION PATIENTS
77;TECHNIQUES EFFECTIVE PROMOTING CLEARANCE MUCUS LUNGS PATIENTS
78;CONSIDERATIONS TREATMENT PATIENTS ANTIBIOTICS PHARMACODYNAMICS ANTIBIOTICS PATIENTS PROBLEMS PECULIAR
79;ROLE ORALLY ADMINISTERED ANTIBIOTICS TREATMENT PATIENTS
80;EVIDENCE COMBINATION THERAPY AMINOGLYCOSIDES SEMISYNTHETIC PENICILLINS EFFECTIVE THERAPY
81;EFFECTIVE INHALATIONS MUCOLYTIC AGENTS TREATMENT PATIENTS
82;ROLE AEROSOLS TREATMENT LUNG DISEASE PATIENTS
83;ROLE BACTERIAL PHAGOCYTOSIS ALVEOLAR MACROPHAGES POLYMORPHONUCLEAR LEUKOCYTES LUNG DISEASE PATIENTS
84;RELATIONSHIP HAEMOPHILUS INFLUENZAE PSEUDOMONAS AERUGINOSA PATIENTS
85;PATIENTS DEVELOP INFECTION ORGANS LUNG ORGANS
86;ROLE BACTERIA PSEUDOMONAS AERUGINOSA STAPHYLOCOCCUS AUREUS HAEMOPHILUS INFLUENZAE PATHOGENESIS LUNG DISEASE PATIENTS
