QueryNumber;Result
1;[568, 0, 0.7676125545105377]
1;[533, 1, 0.7619397837425419]
1;[392, 2, 0.7401162462707692]
1;[11, 3, 0.700870533143227]
1;[302, 4, 0.6916629179076472]
1;[437, 5, 0.6890029491539434]
1;[1180, 6, 0.6671216504448183]
1;[43, 7, 0.6526480009369601]
1;[441, 8, 0.629737894906977]
1;[189, 9, 0.6233581172503164]
1;[52, 10, 0.6169348042463847]
1;[311, 11, 0.6157348274812506]
1;[856, 12, 0.5854678763555292]
1;[499, 13, 0.5841463523994604]
1;[159, 14, 0.5773230875422724]
1;[813, 15, 0.5773230875422724]
1;[875, 16, 0.5773105665948135]
1;[950, 17, 0.5773105665948135]
1;[219, 18, 0.5772984213721111]
1;[317, 19, 0.5768879573849893]
1;[531, 20, 0.5751657135770872]
1;[163, 21, 0.5744550883054973]
1;[543, 22, 0.5744550883054973]
1;[458, 23, 0.5744550883054972]
1;[107, 24, 0.5743980903870575]
1;[848, 25, 0.5743980903870575]
1;[1016, 26, 0.5743980903870574]
1;[1081, 27, 0.5743980903870574]
1;[398, 28, 0.5717737957736884]
1;[179, 29, 0.5716169799214178]
1;[676, 30, 0.5694591082228341]
1;[982, 31, 0.5647021149999295]
1;[333, 32, 0.5616448196765721]
1;[352, 33, 0.5616448196765721]
1;[914, 34, 0.5616448196765721]
1;[459, 35, 0.5612957328777178]
1;[693, 36, 0.5612957328777178]
1;[962, 37, 0.5612957328777178]
1;[1071, 38, 0.5612957328777178]
1;[1103, 39, 0.5612957328777178]
1;[1168, 40, 0.5612957328777178]
1;[1227, 41, 0.5612957328777178]
1;[288, 42, 0.5612957328777177]
1;[753, 43, 0.5602215587060041]
1;[827, 44, 0.5578715435448364]
1;[511, 45, 0.5552420584949468]
1;[1112, 46, 0.5538173466663213]
1;[496, 47, 0.5496638964997335]
1;[502, 48, 0.5496638964997334]
1;[738, 49, 0.5496638964997334]
1;[805, 50, 0.5496638964997334]
1;[439, 51, 0.5459978336245581]
1;[754, 52, 0.5442137781757875]
1;[606, 53, 0.5417461495730888]
1;[742, 54, 0.5380969866831642]
1;[106, 55, 0.5321893584639592]
1;[290, 56, 0.5321893584639592]
1;[61, 57, 0.5321893584639591]
1;[281, 58, 0.5321893584639591]
1;[523, 59, 0.5321893584639591]
1;[538, 60, 0.5321893584639591]
1;[542, 61, 0.5321893584639591]
1;[651, 62, 0.5321893584639591]
1;[758, 63, 0.5321893584639591]
1;[767, 64, 0.5321893584639591]
1;[970, 65, 0.5321893584639591]
1;[999, 66, 0.5321893584639591]
1;[166, 67, 0.5184794794748467]
1;[451, 68, 0.5184794794748467]
1;[710, 69, 0.5184794794748467]
1;[1188, 70, 0.5151467790899201]
1;[510, 71, 0.5102486911868066]
1;[552, 72, 0.5102486911868066]
1;[730, 73, 0.5102486911868066]
1;[734, 74, 0.5102486911868066]
1;[1078, 75, 0.5098068943062306]
1;[1102, 76, 0.5084739829787893]
