QueryNumber;Result
1;[533, 0, 0.7626680054427443]
1;[392, 1, 0.7057949856402964]
1;[568, 2, 0.7014808647826789]
1;[437, 3, 0.6379329453015845]
1;[52, 4, 0.5773502691896258]
1;[875, 5, 0.5772353871849517]
1;[950, 6, 0.5772353871849516]
1;[451, 7, 0.5769911136148291]
1;[441, 8, 0.5758058676707983]
1;[531, 9, 0.5753745629566818]
1;[189, 10, 0.5753745629566817]
1;[758, 11, 0.5733798725211212]
1;[543, 12, 0.573379872521121]
1;[43, 13, 0.5721024246466009]
1;[1180, 14, 0.5721024246466009]
1;[11, 15, 0.5721024246466008]
1;[398, 16, 0.5721024246466008]
1;[302, 17, 0.57051244127951]
1;[311, 18, 0.57051244127951]
1;[827, 19, 0.5578715435448364]
1;[856, 20, 0.5561563178782944]
1;[499, 21, 0.5552420584949468]
1;[511, 22, 0.5552420584949468]
1;[439, 23, 0.5447750964205029]
1;[742, 24, 0.5183721543506838]
1;[957, 25, 0.5052368045110817]
1;[1188, 26, 0.4960894881587141]
1;[481, 27, 0.4839503783954871]
1;[754, 28, 0.4839503783954871]
1;[7, 29, 0.4082482904638631]
1;[27, 30, 0.4082482904638631]
1;[28, 31, 0.4082482904638631]
1;[40, 32, 0.4082482904638631]
1;[41, 33, 0.4082482904638631]
1;[47, 34, 0.4082482904638631]
1;[60, 35, 0.4082482904638631]
1;[61, 36, 0.4082482904638631]
1;[96, 37, 0.4082482904638631]
1;[101, 38, 0.4082482904638631]
1;[106, 39, 0.4082482904638631]
1;[107, 40, 0.4082482904638631]
1;[109, 41, 0.4082482904638631]
1;[122, 42, 0.4082482904638631]
1;[137, 43, 0.4082482904638631]
1;[157, 44, 0.4082482904638631]
1;[159, 45, 0.4082482904638631]
1;[166, 46, 0.4082482904638631]
1;[171, 47, 0.4082482904638631]
1;[177, 48, 0.4082482904638631]
1;[201, 49, 0.4082482904638631]
1;[208, 50, 0.4082482904638631]
1;[219, 51, 0.4082482904638631]
1;[239, 52, 0.4082482904638631]
1;[246, 53, 0.4082482904638631]
1;[258, 54, 0.4082482904638631]
1;[260, 55, 0.4082482904638631]
1;[265, 56, 0.4082482904638631]
1;[266, 57, 0.4082482904638631]
1;[270, 58, 0.4082482904638631]
1;[277, 59, 0.4082482904638631]
1;[281, 60, 0.4082482904638631]
1;[288, 61, 0.4082482904638631]
1;[290, 62, 0.4082482904638631]
1;[296, 63, 0.4082482904638631]
1;[300, 64, 0.4082482904638631]
1;[303, 65, 0.4082482904638631]
1;[316, 66, 0.4082482904638631]
1;[317, 67, 0.4082482904638631]
1;[321, 68, 0.4082482904638631]
1;[324, 69, 0.4082482904638631]
1;[334, 70, 0.4082482904638631]
1;[349, 71, 0.4082482904638631]
1;[352, 72, 0.4082482904638631]
1;[355, 73, 0.4082482904638631]
1;[373, 74, 0.4082482904638631]
1;[386, 75, 0.4082482904638631]
1;[400, 76, 0.4082482904638631]
1;[435, 77, 0.4082482904638631]
1;[453, 78, 0.4082482904638631]
1;[459, 79, 0.4082482904638631]
1;[461, 80, 0.4082482904638631]
1;[463, 81, 0.4082482904638631]
1;[467, 82, 0.4082482904638631]
1;[484, 83, 0.4082482904638631]
1;[497, 84, 0.4082482904638631]
1;[501, 85, 0.4082482904638631]
1;[520, 86, 0.4082482904638631]
1;[522, 87, 0.4082482904638631]
1;[523, 88, 0.4082482904638631]
1;[526, 89, 0.4082482904638631]
1;[529, 90, 0.4082482904638631]
1;[538, 91, 0.4082482904638631]
1;[539, 92, 0.4082482904638631]
1;[542, 93, 0.4082482904638631]
1;[546, 94, 0.4082482904638631]
1;[552, 95, 0.4082482904638631]
1;[563, 96, 0.4082482904638631]
1;[564, 97, 0.4082482904638631]
1;[570, 98, 0.4082482904638631]
1;[596, 99, 0.4082482904638631]
1;[617, 100, 0.4082482904638631]
1;[634, 101, 0.4082482904638631]
1;[636, 102, 0.4082482904638631]
1;[638, 103, 0.4082482904638631]
1;[651, 104, 0.4082482904638631]
1;[652, 105, 0.4082482904638631]
1;[658, 106, 0.4082482904638631]
1;[667, 107, 0.4082482904638631]
1;[676, 108, 0.4082482904638631]
1;[690, 109, 0.4082482904638631]
1;[693, 110, 0.4082482904638631]
1;[701, 111, 0.4082482904638631]
1;[730, 112, 0.4082482904638631]
1;[733, 113, 0.4082482904638631]
1;[734, 114, 0.4082482904638631]
1;[738, 115, 0.4082482904638631]
1;[741, 116, 0.4082482904638631]
1;[753, 117, 0.4082482904638631]
1;[765, 118, 0.4082482904638631]
1;[766, 119, 0.4082482904638631]
1;[767, 120, 0.4082482904638631]
1;[768, 121, 0.4082482904638631]
1;[778, 122, 0.4082482904638631]
1;[789, 123, 0.4082482904638631]
1;[805, 124, 0.4082482904638631]
1;[810, 125, 0.4082482904638631]
1;[813, 126, 0.4082482904638631]
1;[823, 127, 0.4082482904638631]
1;[836, 128, 0.4082482904638631]
1;[847, 129, 0.4082482904638631]
1;[848, 130, 0.4082482904638631]
1;[850, 131, 0.4082482904638631]
1;[861, 132, 0.4082482904638631]
1;[878, 133, 0.4082482904638631]
1;[892, 134, 0.4082482904638631]
1;[914, 135, 0.4082482904638631]
1;[943, 136, 0.4082482904638631]
1;[958, 137, 0.4082482904638631]
1;[960, 138, 0.4082482904638631]
1;[962, 139, 0.4082482904638631]
1;[970, 140, 0.4082482904638631]
1;[973, 141, 0.4082482904638631]
1;[982, 142, 0.4082482904638631]
1;[990, 143, 0.4082482904638631]
1;[999, 144, 0.4082482904638631]
1;[1003, 145, 0.4082482904638631]
1;[1029, 146, 0.4082482904638631]
1;[1036, 147, 0.4082482904638631]
1;[1041, 148, 0.4082482904638631]
1;[1059, 149, 0.4082482904638631]
1;[1071, 150, 0.4082482904638631]
1;[1077, 151, 0.4082482904638631]
1;[1078, 152, 0.4082482904638631]
1;[1081, 153, 0.4082482904638631]
1;[1092, 154, 0.4082482904638631]
1;[1102, 155, 0.4082482904638631]
1;[1103, 156, 0.4082482904638631]
1;[1112, 157, 0.4082482904638631]
1;[1120, 158, 0.4082482904638631]
1;[1139, 159, 0.4082482904638631]
1;[1149, 160, 0.4082482904638631]
1;[1168, 161, 0.4082482904638631]
1;[1185, 162, 0.4082482904638631]
1;[1197, 163, 0.4082482904638631]
1;[1199, 164, 0.4082482904638631]
1;[1215, 165, 0.4082482904638631]
1;[1227, 166, 0.4082482904638631]
1;[1238, 167, 0.4082482904638631]
1;[53, 168, 0.408248290463863]
1;[55, 169, 0.408248290463863]
1;[114, 170, 0.408248290463863]
1;[119, 171, 0.408248290463863]
1;[133, 172, 0.408248290463863]
1;[139, 173, 0.408248290463863]
1;[147, 174, 0.408248290463863]
1;[151, 175, 0.408248290463863]
1;[163, 176, 0.408248290463863]
1;[179, 177, 0.408248290463863]
1;[218, 178, 0.408248290463863]
1;[244, 179, 0.408248290463863]
1;[250, 180, 0.408248290463863]
1;[256, 181, 0.408248290463863]
1;[263, 182, 0.408248290463863]
1;[333, 183, 0.408248290463863]
1;[340, 184, 0.408248290463863]
1;[372, 185, 0.408248290463863]
1;[393, 186, 0.408248290463863]
1;[397, 187, 0.408248290463863]
1;[401, 188, 0.408248290463863]
1;[402, 189, 0.408248290463863]
1;[430, 190, 0.408248290463863]
1;[440, 191, 0.408248290463863]
1;[444, 192, 0.408248290463863]
1;[466, 193, 0.408248290463863]
1;[478, 194, 0.408248290463863]
1;[496, 195, 0.408248290463863]
1;[498, 196, 0.408248290463863]
1;[502, 197, 0.408248290463863]
1;[503, 198, 0.408248290463863]
1;[505, 199, 0.408248290463863]
1;[510, 200, 0.408248290463863]
1;[527, 201, 0.408248290463863]
1;[532, 202, 0.408248290463863]
1;[536, 203, 0.408248290463863]
1;[559, 204, 0.408248290463863]
1;[567, 205, 0.408248290463863]
1;[582, 206, 0.408248290463863]
1;[592, 207, 0.408248290463863]
1;[606, 208, 0.408248290463863]
1;[618, 209, 0.408248290463863]
1;[631, 210, 0.408248290463863]
1;[710, 211, 0.408248290463863]
1;[711, 212, 0.408248290463863]
1;[727, 213, 0.408248290463863]
1;[776, 214, 0.408248290463863]
1;[788, 215, 0.408248290463863]
1;[840, 216, 0.408248290463863]
1;[846, 217, 0.408248290463863]
1;[854, 218, 0.408248290463863]
1;[860, 219, 0.408248290463863]
1;[867, 220, 0.408248290463863]
1;[876, 221, 0.408248290463863]
1;[897, 222, 0.408248290463863]
1;[903, 223, 0.408248290463863]
1;[909, 224, 0.408248290463863]
1;[925, 225, 0.408248290463863]
1;[967, 226, 0.408248290463863]
1;[969, 227, 0.408248290463863]
1;[975, 228, 0.408248290463863]
1;[980, 229, 0.408248290463863]
1;[988, 230, 0.408248290463863]
1;[1012, 231, 0.408248290463863]
1;[1016, 232, 0.408248290463863]
1;[1017, 233, 0.408248290463863]
1;[1026, 234, 0.408248290463863]
1;[1042, 235, 0.408248290463863]
1;[1044, 236, 0.408248290463863]
1;[1050, 237, 0.408248290463863]
1;[1055, 238, 0.408248290463863]
1;[1058, 239, 0.408248290463863]
1;[1064, 240, 0.408248290463863]
1;[1068, 241, 0.408248290463863]
1;[1107, 242, 0.408248290463863]
1;[1111, 243, 0.408248290463863]
1;[1121, 244, 0.408248290463863]
1;[1141, 245, 0.408248290463863]
1;[1145, 246, 0.408248290463863]
1;[1169, 247, 0.408248290463863]
1;[1171, 248, 0.408248290463863]
1;[1193, 249, 0.408248290463863]
1;[1201, 250, 0.408248290463863]
1;[1202, 251, 0.408248290463863]
1;[1234, 252, 0.408248290463863]
1;[1, 253, 0]
1;[2, 254, 0]
1;[3, 255, 0]
1;[4, 256, 0]
1;[5, 257, 0]
1;[6, 258, 0]
1;[8, 259, 0]
1;[9, 260, 0]
1;[10, 261, 0]
1;[12, 262, 0]
1;[13, 263, 0]
1;[14, 264, 0]
1;[15, 265, 0]
1;[16, 266, 0]
1;[17, 267, 0]
1;[18, 268, 0]
1;[19, 269, 0]
1;[20, 270, 0]
1;[21, 271, 0]
1;[22, 272, 0]
1;[23, 273, 0]
1;[24, 274, 0]
1;[25, 275, 0]
1;[26, 276, 0]
1;[29, 277, 0]
1;[30, 278, 0]
1;[31, 279, 0]
1;[32, 280, 0]
1;[33, 281, 0]
1;[34, 282, 0]
1;[35, 283, 0]
1;[37, 284, 0]
1;[38, 285, 0]
1;[39, 286, 0]
1;[42, 287, 0]
1;[44, 288, 0]
1;[45, 289, 0]
1;[46, 290, 0]
1;[48, 291, 0]
1;[49, 292, 0]
1;[50, 293, 0]
1;[51, 294, 0]
1;[54, 295, 0]
1;[56, 296, 0]
1;[57, 297, 0]
1;[58, 298, 0]
1;[59, 299, 0]
1;[62, 300, 0]
1;[63, 301, 0]
1;[64, 302, 0]
1;[65, 303, 0]
1;[66, 304, 0]
1;[67, 305, 0]
1;[68, 306, 0]
1;[69, 307, 0]
1;[70, 308, 0]
1;[71, 309, 0]
1;[72, 310, 0]
1;[73, 311, 0]
1;[74, 312, 0]
1;[75, 313, 0]
1;[76, 314, 0]
1;[77, 315, 0]
1;[78, 316, 0]
1;[79, 317, 0]
1;[80, 318, 0]
1;[81, 319, 0]
1;[82, 320, 0]
1;[83, 321, 0]
1;[84, 322, 0]
1;[85, 323, 0]
1;[86, 324, 0]
1;[87, 325, 0]
1;[88, 326, 0]
1;[89, 327, 0]
1;[90, 328, 0]
1;[91, 329, 0]
1;[92, 330, 0]
1;[93, 331, 0]
1;[94, 332, 0]
1;[95, 333, 0]
1;[97, 334, 0]
1;[98, 335, 0]
1;[99, 336, 0]
1;[100, 337, 0]
1;[102, 338, 0]
1;[103, 339, 0]
1;[104, 340, 0]
1;[105, 341, 0]
1;[108, 342, 0]
1;[110, 343, 0]
1;[111, 344, 0]
1;[112, 345, 0]
1;[113, 346, 0]
1;[115, 347, 0]
1;[116, 348, 0]
1;[117, 349, 0]
1;[118, 350, 0]
1;[120, 351, 0]
1;[121, 352, 0]
1;[123, 353, 0]
1;[124, 354, 0]
1;[125, 355, 0]
1;[126, 356, 0]
1;[127, 357, 0]
1;[129, 358, 0]
1;[130, 359, 0]
1;[131, 360, 0]
1;[134, 361, 0]
1;[135, 362, 0]
1;[136, 363, 0]
1;[138, 364, 0]
1;[140, 365, 0]
1;[141, 366, 0]
1;[142, 367, 0]
1;[143, 368, 0]
1;[144, 369, 0]
1;[145, 370, 0]
1;[146, 371, 0]
1;[148, 372, 0]
1;[149, 373, 0]
1;[150, 374, 0]
1;[152, 375, 0]
1;[153, 376, 0]
1;[154, 377, 0]
1;[155, 378, 0]
1;[156, 379, 0]
1;[158, 380, 0]
1;[160, 381, 0]
1;[161, 382, 0]
1;[162, 383, 0]
1;[164, 384, 0]
1;[165, 385, 0]
1;[167, 386, 0]
1;[169, 387, 0]
1;[170, 388, 0]
1;[172, 389, 0]
1;[173, 390, 0]
1;[174, 391, 0]
1;[175, 392, 0]
1;[176, 393, 0]
1;[178, 394, 0]
1;[180, 395, 0]
1;[181, 396, 0]
1;[182, 397, 0]
1;[183, 398, 0]
1;[184, 399, 0]
1;[185, 400, 0]
1;[186, 401, 0]
1;[187, 402, 0]
1;[188, 403, 0]
1;[190, 404, 0]
1;[191, 405, 0]
1;[192, 406, 0]
1;[193, 407, 0]
1;[194, 408, 0]
1;[195, 409, 0]
1;[196, 410, 0]
1;[197, 411, 0]
1;[198, 412, 0]
1;[199, 413, 0]
1;[200, 414, 0]
1;[202, 415, 0]
1;[203, 416, 0]
1;[204, 417, 0]
1;[205, 418, 0]
1;[206, 419, 0]
1;[207, 420, 0]
1;[209, 421, 0]
1;[210, 422, 0]
1;[211, 423, 0]
1;[212, 424, 0]
1;[213, 425, 0]
1;[214, 426, 0]
1;[215, 427, 0]
1;[216, 428, 0]
1;[217, 429, 0]
1;[220, 430, 0]
1;[221, 431, 0]
1;[222, 432, 0]
1;[223, 433, 0]
1;[224, 434, 0]
1;[225, 435, 0]
1;[226, 436, 0]
1;[227, 437, 0]
1;[228, 438, 0]
1;[229, 439, 0]
1;[230, 440, 0]
1;[231, 441, 0]
1;[232, 442, 0]
1;[233, 443, 0]
1;[234, 444, 0]
1;[235, 445, 0]
1;[236, 446, 0]
1;[237, 447, 0]
1;[238, 448, 0]
1;[240, 449, 0]
1;[241, 450, 0]
1;[242, 451, 0]
1;[243, 452, 0]
1;[245, 453, 0]
1;[247, 454, 0]
1;[248, 455, 0]
1;[249, 456, 0]
1;[251, 457, 0]
1;[252, 458, 0]
1;[253, 459, 0]
1;[254, 460, 0]
1;[255, 461, 0]
1;[257, 462, 0]
1;[259, 463, 0]
1;[261, 464, 0]
1;[262, 465, 0]
1;[264, 466, 0]
1;[267, 467, 0]
1;[268, 468, 0]
1;[269, 469, 0]
1;[271, 470, 0]
1;[272, 471, 0]
1;[273, 472, 0]
1;[274, 473, 0]
1;[275, 474, 0]
1;[276, 475, 0]
1;[278, 476, 0]
1;[279, 477, 0]
1;[280, 478, 0]
1;[282, 479, 0]
1;[283, 480, 0]
1;[284, 481, 0]
1;[285, 482, 0]
1;[286, 483, 0]
1;[287, 484, 0]
1;[289, 485, 0]
1;[291, 486, 0]
1;[292, 487, 0]
1;[293, 488, 0]
1;[294, 489, 0]
1;[295, 490, 0]
1;[297, 491, 0]
1;[299, 492, 0]
1;[301, 493, 0]
1;[304, 494, 0]
1;[305, 495, 0]
1;[306, 496, 0]
1;[307, 497, 0]
1;[308, 498, 0]
1;[309, 499, 0]
1;[310, 500, 0]
1;[312, 501, 0]
1;[313, 502, 0]
1;[314, 503, 0]
1;[315, 504, 0]
1;[318, 505, 0]
1;[319, 506, 0]
1;[320, 507, 0]
1;[322, 508, 0]
1;[323, 509, 0]
1;[325, 510, 0]
1;[326, 511, 0]
1;[327, 512, 0]
1;[328, 513, 0]
1;[330, 514, 0]
1;[331, 515, 0]
1;[332, 516, 0]
1;[335, 517, 0]
1;[336, 518, 0]
1;[337, 519, 0]
1;[338, 520, 0]
1;[339, 521, 0]
1;[341, 522, 0]
1;[342, 523, 0]
1;[343, 524, 0]
1;[344, 525, 0]
1;[345, 526, 0]
1;[346, 527, 0]
1;[347, 528, 0]
1;[348, 529, 0]
1;[350, 530, 0]
1;[351, 531, 0]
1;[353, 532, 0]
1;[354, 533, 0]
1;[356, 534, 0]
1;[357, 535, 0]
1;[358, 536, 0]
1;[359, 537, 0]
1;[360, 538, 0]
1;[361, 539, 0]
1;[362, 540, 0]
1;[363, 541, 0]
1;[364, 542, 0]
1;[365, 543, 0]
1;[366, 544, 0]
1;[367, 545, 0]
1;[368, 546, 0]
1;[369, 547, 0]
1;[370, 548, 0]
1;[371, 549, 0]
1;[374, 550, 0]
1;[375, 551, 0]
1;[376, 552, 0]
1;[377, 553, 0]
1;[378, 554, 0]
1;[379, 555, 0]
1;[380, 556, 0]
1;[381, 557, 0]
1;[382, 558, 0]
1;[383, 559, 0]
1;[384, 560, 0]
1;[385, 561, 0]
1;[387, 562, 0]
1;[388, 563, 0]
1;[389, 564, 0]
1;[390, 565, 0]
1;[391, 566, 0]
1;[394, 567, 0]
1;[395, 568, 0]
1;[396, 569, 0]
1;[399, 570, 0]
1;[403, 571, 0]
1;[404, 572, 0]
1;[405, 573, 0]
1;[406, 574, 0]
1;[407, 575, 0]
1;[408, 576, 0]
1;[409, 577, 0]
1;[410, 578, 0]
1;[411, 579, 0]
1;[412, 580, 0]
1;[413, 581, 0]
1;[414, 582, 0]
1;[415, 583, 0]
1;[416, 584, 0]
1;[417, 585, 0]
1;[418, 586, 0]
1;[419, 587, 0]
1;[420, 588, 0]
1;[421, 589, 0]
1;[422, 590, 0]
1;[423, 591, 0]
1;[424, 592, 0]
1;[425, 593, 0]
1;[426, 594, 0]
1;[427, 595, 0]
1;[428, 596, 0]
1;[429, 597, 0]
1;[431, 598, 0]
1;[432, 599, 0]
1;[433, 600, 0]
1;[434, 601, 0]
1;[436, 602, 0]
1;[438, 603, 0]
1;[442, 604, 0]
1;[443, 605, 0]
1;[445, 606, 0]
1;[446, 607, 0]
1;[447, 608, 0]
1;[448, 609, 0]
1;[449, 610, 0]
1;[450, 611, 0]
1;[452, 612, 0]
1;[454, 613, 0]
1;[455, 614, 0]
1;[456, 615, 0]
1;[457, 616, 0]
1;[458, 617, 0]
1;[460, 618, 0]
1;[462, 619, 0]
1;[464, 620, 0]
1;[465, 621, 0]
1;[468, 622, 0]
1;[469, 623, 0]
1;[470, 624, 0]
1;[471, 625, 0]
1;[472, 626, 0]
1;[473, 627, 0]
1;[474, 628, 0]
1;[475, 629, 0]
1;[476, 630, 0]
1;[477, 631, 0]
1;[479, 632, 0]
1;[480, 633, 0]
1;[482, 634, 0]
1;[483, 635, 0]
1;[485, 636, 0]
1;[486, 637, 0]
1;[487, 638, 0]
1;[488, 639, 0]
1;[489, 640, 0]
1;[490, 641, 0]
1;[491, 642, 0]
1;[492, 643, 0]
1;[494, 644, 0]
1;[495, 645, 0]
1;[500, 646, 0]
1;[504, 647, 0]
1;[506, 648, 0]
1;[507, 649, 0]
1;[508, 650, 0]
1;[509, 651, 0]
1;[513, 652, 0]
1;[514, 653, 0]
1;[515, 654, 0]
1;[516, 655, 0]
1;[517, 656, 0]
1;[518, 657, 0]
1;[519, 658, 0]
1;[521, 659, 0]
1;[524, 660, 0]
1;[525, 661, 0]
1;[528, 662, 0]
1;[530, 663, 0]
1;[534, 664, 0]
1;[535, 665, 0]
1;[537, 666, 0]
1;[540, 667, 0]
1;[541, 668, 0]
1;[544, 669, 0]
1;[545, 670, 0]
1;[547, 671, 0]
1;[548, 672, 0]
1;[549, 673, 0]
1;[550, 674, 0]
1;[553, 675, 0]
1;[554, 676, 0]
1;[555, 677, 0]
1;[556, 678, 0]
1;[557, 679, 0]
1;[558, 680, 0]
1;[560, 681, 0]
1;[561, 682, 0]
1;[562, 683, 0]
1;[565, 684, 0]
1;[566, 685, 0]
1;[569, 686, 0]
1;[571, 687, 0]
1;[572, 688, 0]
1;[573, 689, 0]
1;[574, 690, 0]
1;[575, 691, 0]
1;[576, 692, 0]
1;[577, 693, 0]
1;[578, 694, 0]
1;[579, 695, 0]
1;[580, 696, 0]
1;[581, 697, 0]
1;[583, 698, 0]
1;[584, 699, 0]
1;[585, 700, 0]
1;[586, 701, 0]
1;[587, 702, 0]
1;[588, 703, 0]
1;[589, 704, 0]
1;[590, 705, 0]
1;[591, 706, 0]
1;[593, 707, 0]
1;[594, 708, 0]
1;[597, 709, 0]
1;[598, 710, 0]
1;[599, 711, 0]
1;[600, 712, 0]
1;[601, 713, 0]
1;[602, 714, 0]
1;[603, 715, 0]
1;[604, 716, 0]
1;[605, 717, 0]
1;[607, 718, 0]
1;[608, 719, 0]
1;[609, 720, 0]
1;[610, 721, 0]
1;[611, 722, 0]
1;[612, 723, 0]
1;[613, 724, 0]
1;[614, 725, 0]
1;[615, 726, 0]
1;[616, 727, 0]
1;[619, 728, 0]
1;[620, 729, 0]
1;[621, 730, 0]
1;[622, 731, 0]
1;[623, 732, 0]
1;[624, 733, 0]
1;[625, 734, 0]
1;[626, 735, 0]
1;[627, 736, 0]
1;[628, 737, 0]
1;[629, 738, 0]
1;[630, 739, 0]
1;[632, 740, 0]
1;[633, 741, 0]
1;[635, 742, 0]
1;[637, 743, 0]
1;[639, 744, 0]
1;[640, 745, 0]
1;[641, 746, 0]
1;[642, 747, 0]
1;[643, 748, 0]
1;[644, 749, 0]
1;[645, 750, 0]
1;[646, 751, 0]
1;[647, 752, 0]
1;[648, 753, 0]
1;[649, 754, 0]
1;[650, 755, 0]
1;[653, 756, 0]
1;[654, 757, 0]
1;[655, 758, 0]
1;[656, 759, 0]
1;[657, 760, 0]
1;[659, 761, 0]
1;[660, 762, 0]
1;[661, 763, 0]
1;[662, 764, 0]
1;[663, 765, 0]
1;[664, 766, 0]
1;[665, 767, 0]
1;[666, 768, 0]
1;[668, 769, 0]
1;[669, 770, 0]
1;[670, 771, 0]
1;[671, 772, 0]
1;[672, 773, 0]
1;[673, 774, 0]
1;[674, 775, 0]
1;[675, 776, 0]
1;[677, 777, 0]
1;[678, 778, 0]
1;[679, 779, 0]
1;[680, 780, 0]
1;[681, 781, 0]
1;[682, 782, 0]
1;[683, 783, 0]
1;[684, 784, 0]
1;[685, 785, 0]
1;[686, 786, 0]
1;[687, 787, 0]
1;[688, 788, 0]
1;[689, 789, 0]
1;[691, 790, 0]
1;[692, 791, 0]
1;[694, 792, 0]
1;[695, 793, 0]
1;[696, 794, 0]
1;[697, 795, 0]
1;[698, 796, 0]
1;[699, 797, 0]
1;[700, 798, 0]
1;[702, 799, 0]
1;[703, 800, 0]
1;[704, 801, 0]
1;[705, 802, 0]
1;[706, 803, 0]
1;[707, 804, 0]
1;[708, 805, 0]
1;[709, 806, 0]
1;[713, 807, 0]
1;[714, 808, 0]
1;[715, 809, 0]
1;[716, 810, 0]
1;[717, 811, 0]
1;[718, 812, 0]
1;[719, 813, 0]
1;[720, 814, 0]
1;[721, 815, 0]
1;[722, 816, 0]
1;[723, 817, 0]
1;[724, 818, 0]
1;[725, 819, 0]
1;[726, 820, 0]
1;[728, 821, 0]
1;[731, 822, 0]
1;[732, 823, 0]
1;[736, 824, 0]
1;[737, 825, 0]
1;[739, 826, 0]
1;[740, 827, 0]
1;[743, 828, 0]
1;[744, 829, 0]
1;[745, 830, 0]
1;[746, 831, 0]
1;[747, 832, 0]
1;[748, 833, 0]
1;[749, 834, 0]
1;[750, 835, 0]
1;[751, 836, 0]
1;[752, 837, 0]
1;[755, 838, 0]
1;[756, 839, 0]
1;[757, 840, 0]
1;[759, 841, 0]
1;[760, 842, 0]
